0.00	0.22	0.49	1.00	0.50
0.02	0.27	0.50	1.04	0.54
0.04	0.33	0.55	1.09	0.59
0.06	0.41	0.60	1.13	0.63
0.08	0.43	0.73	1.18	0.68
0.10	0.57	0.68	1.22	0.72
0.12	0.73	0.76	1.26	0.76
0.14	0.91	0.84	1.30	0.80
0.16	1.08	0.92	1.35	0.85
0.18	1.18	0.79	1.39	0.89
0.20	1.32	0.84	1.43	0.93
0.22	1.39	0.96	1.48	0.97
0.24	1.49	1.04	1.52	1.02
0.26	1.56	1.11	1.56	1.06
